,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare
0,72500,41.0,1,1768.29,Nicolina-CUG,Nou (Post-2000),Decomandat
2,180000,72.4,3,2486.19,Centru-Civic,Nou (Post-2000),Decomandat
11,106000,50.0,2,2120.0,Nicolina-CUG,Nou (Post-2000),Decomandat
12,73500,57.0,2,1289.47,Tatarasi-Tudor,Vechi (Pre-1977),Semidecomandat
17,105000,80.0,3,1312.5,Bucium,Nou (Post-2000),Nespecificat
21,72000,40.0,1,1800.0,Bucium,Nou (Post-2000),Nespecificat
28,99000,54.0,3,1833.33,Alexandru-Dacia,Clasic (1977-2000),Semidecomandat
31,120000,53.0,2,2264.15,Centru-Civic,Nou (Post-2000),Semidecomandat
36,124000,70.0,3,1771.43,Nicolina-CUG,Clasic (1977-2000),Decomandat
48,110000,67.0,3,1641.79,Nicolina-CUG,Clasic (1977-2000),Decomandat
51,135000,80.0,3,1687.5,Nicolina-CUG,Clasic (1977-2000),Decomandat
54,95455,58.41,2,1634.22,Nicolina-CUG,Nou (Post-2000),Nespecificat
55,99965,55.76,2,1792.77,Nicolina-CUG,Nou (Post-2000),Nespecificat
56,85000,51.0,3,1666.67,Alexandru-Dacia,Clasic (1977-2000),Semidecomandat
62,95900,54.0,2,1775.93,Nicolina-CUG,Clasic (1977-2000),Decomandat
79,98200,50.0,2,1964.0,Tatarasi-Tudor,Vechi (Pre-1977),Decomandat
83,128715,53.0,1,2428.58,Copou-Saras,Nou (Post-2000),Nespecificat
86,128160,64.08,2,2000.0,Copou-Saras,Clasic (1977-2000),Decomandat
87,170760,85.38,3,2000.0,Copou-Saras,Clasic (1977-2000),Decomandat
89,138000,69.03,2,1999.13,Copou-Saras,Clasic (1977-2000),Nespecificat
93,149900,75.5,3,1985.43,Alexandru-Dacia,Clasic (1977-2000),Nespecificat
100,138000,69.0,2,2000.0,Copou-Saras,Clasic (1977-2000),Decomandat
103,43000,28.0,1,1535.71,Nicolina-CUG,Nou (Post-2000),Nespecificat
105,111000,48.0,1,2312.5,Copou-Saras,Nou (Post-2000),Nespecificat
108,122000,56.0,2,2178.57,Podu-Ros-Cantemir,Clasic (1977-2000),Decomandat
110,85000,54.0,2,1574.07,Periferie-Metropolitana,Nou (Post-2000),Nespecificat
124,86000,49.0,2,1755.1,Tatarasi-Tudor,Nou (Post-2000),Nespecificat
129,84800,53.0,2,1600.0,Alexandru-Dacia,Clasic (1977-2000),Decomandat
135,97500,43.37,2,2248.1,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
138,65600,41.0,1,1600.0,Galata-Frumoasa,Nou (Post-2000),Nespecificat
141,84900,55.0,2,1543.64,Alexandru-Dacia,Clasic (1977-2000),Decomandat
145,65000,36.0,1,1805.56,Alexandru-Dacia,Clasic (1977-2000),Decomandat
150,58990,33.0,1,1787.58,Galata-Frumoasa,Clasic (1977-2000),Decomandat
158,43750,35.0,1,1250.0,Bucium,Nou (Post-2000),Nespecificat
159,47500,38.0,1,1250.0,Bucium,Nou (Post-2000),Nespecificat
160,63750,51.0,2,1250.0,Bucium,Nou (Post-2000),Decomandat
172,89500,57.0,2,1570.18,Tatarasi-Tudor,Vechi (Pre-1977),Decomandat
177,59500,39.0,1,1525.64,Bucium,Nou (Post-2000),Nespecificat
179,121500,57.0,2,2131.58,Nicolina-CUG,Nou (Post-2000),Nespecificat
181,116000,70.0,3,1657.14,Pacurari-Canta,Clasic (1977-2000),Decomandat
183,125000,72.0,3,1736.11,Podu-Ros-Cantemir,Clasic (1977-2000),Decomandat
194,124900,53.0,3,2356.6,Pacurari-Canta,Clasic (1977-2000),Decomandat
199,143900,71.58,3,2010.34,Alexandru-Dacia,Nou (Post-2000),Decomandat
200,86500,56.0,2,1544.64,Podu-Ros-Cantemir,Vechi (Pre-1977),Decomandat
202,128000,65.0,2,1969.23,Alexandru-Dacia,Vechi (Pre-1977),Decomandat
217,128900,53.0,3,2432.08,Pacurari-Canta,Clasic (1977-2000),Decomandat
222,66000,30.0,2,2200.0,Periferie-Metropolitana,Nou (Post-2000),Decomandat
223,49000,25.0,1,1960.0,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat
226,128000,65.0,2,1969.23,Centru-Civic,Vechi (Pre-1977),Decomandat
230,123000,58.0,3,2120.69,Podu-Ros-Cantemir,Clasic (1977-2000),Semidecomandat
234,96900,54.0,2,1794.44,Podu-Ros-Cantemir,Vechi (Pre-1977),Semidecomandat
240,131900,72.0,3,1831.94,Nicolina-CUG,Clasic (1977-2000),Nespecificat
244,38000,30.0,1,1266.67,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat
249,117900,62.0,2,1901.61,Nicolina-CUG,Nou (Post-2000),Nespecificat
251,110000,50.5,2,2178.22,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat
254,98500,49.8,2,1977.91,Copou-Saras,Clasic (1977-2000),Nespecificat
267,120000,61.52,3,1950.59,Pacurari-Canta,Vechi (Pre-1977),Nespecificat
